county_x,FIPS,pop_count,POPESTIMATE2020,pop_diffs,pop_diffs_abs,undercount,percent_change,overcount_5_prc,undercount_5_prc,overcount_10_prc,undercount_10_prc,annual_growth_rate,overcount,total_housing,occ_housing,unocc_housing,total_group,total_inst,adult_jail,juvenille_jail,nursing_homes,other_inst,non_inst_total,college_housing,military_housing,other_non_inst,state_fips_x,county_fips_x,CENSUS2010POP,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,fatalityCount,pop_covid_est,county_y,0-5_pop,5-9_pop,10-14_pop,15-19_pop,20-24_pop,25-34_pop,35-44_pop,45-54_pop,55-59_pop,60-64_pop,65-74_pop,75-84_pop,85_plus_pop,white_pop,black_pop,ai_an_pop,asian_pop,black_w_other_race_pop,hisp_any_race_pop,male_pop,female_pop,state_fips_y,county_fips_y
Surry County,37171,71359.0,71683.0,324.0,324.0,1,0.4519900115787564,0,0,0,0,7168.2,0,33436.0,29659.0,3777.0,950.0,661.0,150.0,4.0,507.0,0.0,289.0,0.0,0.0,289.0,37,171,73673,759,1006,-247,15,172,86,71783,"Surry County, North Carolina",3820.0,4083.0,4491.0,4492.0,4063.0,7863.0,8029.0,10265.0,4886.0,5234.0,8385.0,4365.0,1928.0,64195.0,2703.0,239.0,464.0,3418.0,7822.0,34852.0,37052.0,37,171
Swain County,37173,14117.0,14179.0,62.0,62.0,1,0.4372663798575358,0,0,0,0,1417.8,0,8341.0,5734.0,2607.0,397.0,314.0,112.0,20.0,182.0,0.0,83.0,0.0,0.0,83.0,37,173,13981,161,250,-89,1,-46,0,14271,"Swain County, North Carolina",776.0,920.0,1025.0,883.0,860.0,1642.0,1577.0,1873.0,925.0,1040.0,1560.0,795.0,365.0,9221.0,95.0,4294.0,64.0,252.0,860.0,6878.0,7363.0,37,173
Transylvania County,37175,32986.0,34498.0,1512.0,1512.0,1,4.382862774653603,0,0,0,0,3449.7,0,19025.0,14385.0,4640.0,869.0,229.0,13.0,0.0,216.0,0.0,640.0,510.0,0.0,130.0,37,175,33090,268,448,-180,6,406,27,34385,"Transylvania County, North Carolina",1368.0,1665.0,1341.0,1768.0,1853.0,3352.0,3237.0,3875.0,2463.0,2847.0,5586.0,3362.0,1322.0,31138.0,1454.0,130.0,56.0,1604.0,1131.0,16273.0,17766.0,37,175
Tyrrell County,37177,3245.0,3774.0,529.0,529.0,1,14.016958134605192,1,0,1,0,377.3,0,1999.0,1444.0,555.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,37,177,4407,27,41,-14,0,-25,0,4016,"Tyrrell County, North Carolina",91.0,206.0,168.0,108.0,355.0,487.0,461.0,690.0,239.0,272.0,392.0,394.0,115.0,2330.0,1422.0,24.0,19.0,1481.0,175.0,2271.0,1707.0,37,177
Union County,37179,238267.0,244562.0,6295.0,6295.0,1,2.573989417816341,0,0,0,0,24456.1,0,83788.0,80167.0,3621.0,2912.0,1021.0,204.0,4.0,798.0,15.0,1891.0,1707.0,0.0,184.0,37,179,201292,2374,1673,701,80,3774,1284,239859,"Union County, North Carolina",13397.0,16779.0,20415.0,19914.0,14177.0,22750.0,31990.0,38395.0,16726.0,11456.0,18505.0,8346.0,2917.0,187121.0,27297.0,574.0,7804.0,30594.0,26526.0,116112.0,119655.0,37,179
Vance County,37181,42578.0,44718.0,2140.0,2140.0,1,4.785544970705309,0,0,0,0,4471.7,0,19276.0,17038.0,2238.0,479.0,345.0,116.0,9.0,220.0,0.0,134.0,0.0,0.0,134.0,37,181,45422,558,567,-9,64,-8,1423,44535,"Vance County, North Carolina",2793.0,2245.0,3690.0,2871.0,2839.0,5336.0,4751.0,5838.0,3039.0,3072.0,4859.0,2427.0,854.0,18644.0,21924.0,499.0,375.0,23185.0,3567.0,20783.0,23831.0,37,181
Wake County,37183,1129410.0,1132271.0,2861.0,2861.0,1,0.2526780249604556,0,0,0,0,113227.0,0,462582.0,437043.0,25539.0,21136.0,6433.0,4032.0,91.0,2152.0,158.0,14703.0,11890.0,0.0,2813.0,37,183,900993,12716,6757,5959,2854,10635,2294,1111761,"Wake County, North Carolina",67034.0,72492.0,76241.0,75511.0,68797.0,161738.0,162919.0,155500.0,67600.0,56697.0,79088.0,32424.0,15621.0,696626.0,220232.0,3413.0,80059.0,240329.0,110961.0,531038.0,560624.0,37,183
Warren County,37185,18642.0,19522.0,880.0,880.0,1,4.507734863231226,0,0,0,0,1952.1,0,11309.0,7894.0,3415.0,870.0,798.0,654.0,8.0,136.0,0.0,72.0,0.0,0.0,72.0,37,185,20972,148,272,-124,-4,-40,104,19731,"Warren County, North Carolina",869.0,1109.0,911.0,1473.0,879.0,1907.0,2189.0,2113.0,1428.0,1851.0,2897.0,1537.0,583.0,7707.0,9913.0,1119.0,99.0,10236.0,761.0,9649.0,10097.0,37,185
Washington County,37187,11003.0,11485.0,482.0,482.0,1,4.196778406617327,0,0,0,0,1148.4,0,6039.0,4871.0,1168.0,169.0,161.0,18.0,3.0,140.0,0.0,8.0,0.0,0.0,8.0,37,187,13228,128,179,-51,-3,-94,221,11580,"Washington County, North Carolina",247.0,847.0,886.0,889.0,679.0,987.0,1091.0,1357.0,874.0,1046.0,1655.0,873.0,357.0,5416.0,5727.0,53.0,35.0,5746.0,644.0,5600.0,6188.0,37,187
Watauga County,37189,54086.0,56441.0,2355.0,2355.0,1,4.172498715472795,0,0,0,0,5644.0,0,32637.0,21413.0,11224.0,6969.0,209.0,59.0,0.0,150.0,0.0,6760.0,6573.0,0.0,187.0,37,189,51079,328,424,-96,31,232,0,56177,"Watauga County, North Carolina",1810.0,2098.0,1905.0,7186.0,9989.0,6155.0,5116.0,5787.0,3268.0,3446.0,5397.0,2771.0,741.0,52021.0,958.0,278.0,649.0,1283.0,2091.0,27764.0,27905.0,37,189
Wayne County,37191,117333.0,123967.0,6634.0,6634.0,1,5.351424169335388,1,0,0,0,12396.6,0,52551.0,45997.0,6554.0,3972.0,2516.0,1388.0,26.0,491.0,611.0,1456.0,400.0,580.0,476.0,37,191,122623,1609,1521,88,207,-236,1245,123131,"Wayne County, North Carolina",8117.0,7535.0,8807.0,7922.0,8996.0,16675.0,14075.0,15137.0,7581.0,8583.0,11994.0,6327.0,2036.0,76823.0,37614.0,324.0,1473.0,40356.0,14944.0,60600.0,63185.0,37,191
Wilkes County,37193,65969.0,68043.0,2074.0,2074.0,1,3.0480725423629176,0,0,0,0,6804.2,0,31545.0,27612.0,3933.0,1051.0,967.0,416.0,75.0,476.0,0.0,84.0,0.0,0.0,84.0,37,193,69340,679,906,-227,30,-57,268,68412,"Wilkes County, North Carolina",3438.0,3834.0,4001.0,4048.0,3760.0,7453.0,7533.0,9397.0,5259.0,4916.0,8434.0,4538.0,1730.0,61780.0,2642.0,140.0,406.0,3585.0,4515.0,33685.0,34656.0,37,193
Wilson County,37195,78784.0,81979.0,3195.0,3195.0,1,3.897339562570902,0,0,0,0,8197.8,0,36252.0,32222.0,4030.0,973.0,769.0,154.0,5.0,610.0,0.0,204.0,46.0,0.0,158.0,37,195,81234,973,1011,-38,51,190,810,81801,"Wilson County, North Carolina",4819.0,4892.0,5746.0,5541.0,4895.0,9821.0,9302.0,10393.0,5560.0,5800.0,8822.0,4357.0,1631.0,40722.0,32464.0,401.0,516.0,33662.0,8577.0,38464.0,43115.0,37,195
Yadkin County,37197,37214.0,37625.0,411.0,411.0,1,1.092358803986711,0,0,0,0,3762.4,0,16946.0,15225.0,1721.0,461.0,348.0,83.0,7.0,258.0,0.0,113.0,0.0,0.0,113.0,37,197,38406,364,469,-105,-4,116,163,37667,"Yadkin County, North Carolina",1913.0,2054.0,2443.0,2124.0,2131.0,4313.0,4138.0,5443.0,2901.0,2707.0,4181.0,2434.0,807.0,34336.0,1211.0,125.0,38.0,1438.0,4198.0,18627.0,18962.0,37,197
Yancey County,37199,18470.0,18099.0,-371.0,371.0,0,-2.049837007569479,0,0,0,0,1809.8,1,11230.0,8120.0,3110.0,131.0,123.0,37.0,0.0,86.0,0.0,8.0,0.0,0.0,8.0,37,199,17818,178,249,-71,3,108,0,18069,"Yancey County, North Carolina",860.0,855.0,961.0,927.0,938.0,1809.0,1898.0,2387.0,1218.0,1416.0,2656.0,1419.0,526.0,17004.0,114.0,99.0,53.0,276.0,928.0,8820.0,9050.0,37,199
